,Dependents2_1,Dependents2_2,Dependents2_3,Dependents2_4,Dependents2_5,Dependents2_6,Dependents2_7,Dependents2_8,Dependents2_9,OnlineBackup2_1,OnlineBackup2_2,OnlineBackup2_3,OnlineBackup2_4,OnlineBackup2_5,OnlineBackup2_6,OnlineBackup2_7,OnlineBackup2_8,OnlineBackup2_9,DeviceProtection2_1,DeviceProtection2_2,DeviceProtection2_3,DeviceProtection2_4,DeviceProtection2_5,DeviceProtection2_6,DeviceProtection2_7,DeviceProtection2_8,DeviceProtection2_9,PaperlessBilling2_1,PaperlessBilling2_2,PaperlessBilling2_3,PaperlessBilling2_4,PaperlessBilling2_5,PaperlessBilling2_6,PaperlessBilling2_7,PaperlessBilling2_8,PaperlessBilling2_9,SeniorCitizen2_1,SeniorCitizen2_2,SeniorCitizen2_3,SeniorCitizen2_4,SeniorCitizen2_5,SeniorCitizen2_6,SeniorCitizen2_7,SeniorCitizen2_8,SeniorCitizen2_9,PhoneService2_1,PhoneService2_2,PhoneService2_3,PhoneService2_4,PhoneService2_5,PhoneService2_6,PhoneService2_7,PhoneService2_8,PhoneService2_9,PaymentMethod2_1,PaymentMethod2_2,PaymentMethod2_3,PaymentMethod2_4,PaymentMethod2_5,PaymentMethod2_6,PaymentMethod2_7,PaymentMethod2_8,PaymentMethod2_9,TotalCharges2_1,TotalCharges2_2,TotalCharges2_3,TotalCharges2_4,TotalCharges2_5,TotalCharges2_6,TotalCharges2_7,TotalCharges2_8,MonthlyCharges2_1,MonthlyCharges2_2,MonthlyCharges2_3,MonthlyCharges2_4,MonthlyCharges2_5,MonthlyCharges2_6,MonthlyCharges2_7,MonthlyCharges2_8,MultipleLines2_1,MultipleLines2_2,MultipleLines2_3,MultipleLines2_4,MultipleLines2_5,MultipleLines2_6,MultipleLines2_7,MultipleLines2_8,MultipleLines2_9,Contract2_1,Contract2_2,Contract2_3,Contract2_4,Contract2_5,Contract2_6,Contract2_7,Contract2_8,Contract2_9,OnlineSecurity2_1,OnlineSecurity2_2,OnlineSecurity2_3,OnlineSecurity2_4,OnlineSecurity2_5,OnlineSecurity2_6,OnlineSecurity2_7,OnlineSecurity2_8,OnlineSecurity2_9,TechSupport2_1,TechSupport2_2,TechSupport2_3,TechSupport2_4,TechSupport2_5,TechSupport2_6,TechSupport2_7,TechSupport2_8,TechSupport2_9,StreamingMovies2_1,StreamingMovies2_2,StreamingMovies2_3,StreamingMovies2_4,StreamingMovies2_5,StreamingMovies2_6,StreamingMovies2_7,StreamingMovies2_8,StreamingMovies2_9,InternetService2_1,InternetService2_2,InternetService2_3,InternetService2_4,InternetService2_5,InternetService2_6,InternetService2_7,InternetService2_8,InternetService2_9,gender2_1,gender2_2,gender2_3,gender2_4,gender2_5,gender2_6,gender2_7,gender2_8,gender2_9,Partner2_1,Partner2_2,Partner2_3,Partner2_4,Partner2_5,Partner2_6,Partner2_7,Partner2_8,Partner2_9,StreamingTV2_1,StreamingTV2_2,StreamingTV2_3,StreamingTV2_4,StreamingTV2_5,StreamingTV2_6,StreamingTV2_7,StreamingTV2_8,StreamingTV2_9,tenure2_1,tenure2_2,tenure2_3,tenure2_4,tenure2_5,tenure2_6,tenure2_7,tenure2_8
0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0,5.0,4.0,3.0,3.0,3.0
1,4.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,1.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0
2,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,5.0,2.0,2.0,2.0,5.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,5.0,5.0,3.0,2.0,3.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0
4,4.0,4.0,3.0,5.0,5.0,5.0,3.0,1.0,1.0,5.0,3.0,5.0,3.0,5.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0
5,4.0,2.0,2.0,1.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,4.0,2.0,3.0,2.0,3.0,4.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,1.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,2.0,1.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,5.0,4.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0
9,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,5.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
